Data taken from Mares and Schraube Nuclear Instruments and MEthods in Physics Research A 1994
Evaluation of the respons ematrixof aBonner sphere spectrometer with Lil detector from thermal energy to 100 MeV
Energy(MeV)    bare	    2inch	    3inch	    5inch	     8inch	    10inch   	12inch
1.000E-08	2.085E-01	6.636E-02	4.4860E-02	2.128E-02	6.988E-03	2.652E-03	7.175E-04
1.585E-08	2.030E-01	8.689E-02	6.6040E-02	2.988E-02	9.067E-03	3.403E-03	1.069E-03
2.512E-08	1.984E-01	1.046E-01	7.7670E-02	3.622E-02	1.043E-02	3.941E-03	1.315E-03
3.981E-08	1.937E-01	1.223E-01	8.9220E-02	4.258E-02	1.181E-02	4.482E-03	1.563E-03
6.310E-08	1.881E-01	1.429E-01	1.0600E-01	5.126E-02	1.391E-02	5.240E-03	1.918E-03
1.000E-07	1.796E-01	1.673E-01	1.2820E-01	6.313E-02	1.706E-02	6.353E-03	2.408E-03
1.585E-07	1.683E-01	1.911E-01	1.5250E-01	7.570E-02	2.057E-02	7.731E-03	2.840E-03
2.512E-07	1.549E-01	2.112E-01	1.7660E-01	8.828E-02	2.409E-02	9.226E-03	3.340E-03
3.981E-07	1.402E-01	2.252E-01	1.9840E-01	1.008E-01	2.741E-02	1.069E-02	3.816E-03
6.310E-07	1.248E-01	2.326E-01	2.1680E-01	1.131E-01	3.043E-02	1.204E-02	4.304E-03
1.000E-06	1.095E-01	2.348E-01	2.3190E-01	1.246E-01	3.316E-02	1.325E-02	4.748E-03
1.585E-06	9.509E-02	2.333E-01	2.4390E-01	1.351E-01	3.564E-02	1.432E-02	5.107E-03
2.512E-06	8.166E-02	2.291E-01	2.5340E-01	1.446E-01	3.794E-02	1.527E-02	5.395E-03
3.981E-06	6.937E-02	2.228E-01	2.6080E-01	1.532E-01	4.012E-02	1.613E-02	5.641E-03
6.310E-06	5.831E-02	2.150E-01	2.6590E-01	1.610E-01	4.228E-02	1.695E-02	5.872E-03
1.000E-05	4.860E-02	2.061E-01	2.6800E-01	1.681E-01	4.447E-02	1.774E-02	6.118E-03
1.585E-05	4.030E-02	1.964E-01	2.6640E-01	1.746E-01	4.677E-02	1.855E-02	6.400E-03
2.512E-05	3.329E-02	1.860E-01	2.6290E-01	1.806E-01	4.914E-02	1.938E-02	6.712E-03
3.981E-05	2.742E-02	1.754E-01	2.5940E-01	1.861E-01	5.153E-02	2.023E-02	7.042E-03
6.310E-05	2.253E-02	1.646E-01	2.5650E-01	1.912E-01	5.390E-02	2.112E-02	7.378E-03
1.000E-04	1.846E-02	1.539E-01	2.5330E-01	1.959E-01	5.620E-02	2.204E-02	7.707E-03
1.585E-04	1.506E-02	1.435E-01	2.4870E-01	2.002E-01	5.839E-02	2.299E-02	8.020E-03
2.512E-04	1.225E-02	1.335E-01	2.4300E-01	2.040E-01	6.048E-02	2.395E-02	8.323E-03
3.981E-04	9.930E-03	1.239E-01	2.3640E-01	2.074E-01	6.249E-02	2.488E-02	8.625E-03
6.310E-04	8.036E-03	1.148E-01	2.2910E-01	2.102E-01	6.442E-02	2.573E-02	8.935E-03
1.000E-03	6.485E-03	1.063E-01	2.2150E-01	2.124E-01	6.630E-02	2.646E-02	9.263E-03
1.585E-03	5.205E-03	9.831E-02	2.1370E-01	2.139E-01	6.818E-02	2.707E-02	9.617E-03
2.512E-03	4.159E-03	9.083E-02	2.0580E-01	2.152E-01	7.019E-02	2.763E-02	1.000E-02
3.981E-03	3.318E-03	8.376E-02	1.9800E-01	2.165E-01	7.253E-02	2.825E-02	1.042E-02
6.310E-03	2.653E-03	7.701E-02	1.9030E-01	2.183E-01	7.537E-02	2.902E-02	1.088E-02
1.000E-02	2.133E-03	7.051E-02	1.8280E-01	2.209E-01	7.888E-02	3.005E-02	1.137E-02
1.585E-02	1.704E-03	6.416E-02	1.7540E-01	2.244E-01	8.285E-02	3.153E-02	1.195E-02
2.512E-02	1.355E-03	5.791E-02	1.6790E-01	2.281E-01	8.662E-02	3.374E-02	1.266E-02
3.981E-02	1.094E-03	5.171E-02	1.6010E-01	2.316E-01	8.999E-02	3.695E-02	1.360E-02
6.310E-02	8.832E-04	4.553E-02	1.5170E-01	2.346E-01	9.612E-02	4.107E-02	1.481E-02
1.000E-01	7.241E-04	3.938E-02	1.4240E-01	2.376E-01	1.090E-01	4.616E-02	1.649E-02
1.585E-01	1.429E-03	3.326E-02	1.3130E-01	2.456E-01	1.268E-01	5.476E-02	1.997E-02
2.512E-01	2.935E-03	2.723E-02	1.1780E-01	2.564E-01	1.483E-01	6.912E-02	2.698E-02
3.981E-01	1.000E-03	2.143E-02	1.0180E-01	2.540E-01	1.769E-01	8.920E-02	3.891E-02
6.310E-01	3.100E-04	1.613E-02	8.4060E-02	2.421E-01	2.059E-01	1.183E-01	5.748E-02
1.000E+00	2.489E-04	1.152E-02	6.5700E-02	2.252E-01	2.295E-01	1.561E-01	8.463E-02
1.585E+00	2.200E-04	7.662E-03	4.8060E-02	1.974E-01	2.492E-01	1.925E-01	1.219E-01
2.512E+00	1.910E-04	4.660E-03	3.2640E-02	1.594E-01	2.525E-01	2.171E-01	1.632E-01
3.981E+00	1.074E-04	2.623E-03	2.0740E-02	1.173E-01	2.235E-01	2.196E-01	1.927E-01
6.310E+00	6.499E-05	1.386E-03	1.2360E-02	7.720E-02	1.761E-01	1.914E-01	1.821E-01
1.000E+01	3.774E-05	7.345E-04	7.1020E-03	4.672E-02	1.281E-01	1.508E-01	1.516E-01
1.585E+01	2.245E-05	4.249E-04	4.0540E-03	2.905E-02	8.611E-02	1.129E-01	1.242E-01
2.512E+01	1.544E-02	2.401E-04	2.1300E-03	1.586E-02	4.952E-02	6.826E-02	8.199E-02
3.981E+01	1.493E-05	1.388E-04	1.0570E-03	7.381E-02	2.501E-02	3.379E-02	4.355E-02
6.310E+01	1.500E-05	9.505E-05	6.3250E-04	4.046E-03	1.349E-02	1.710E-02	2.264E-02
1.000E+02	1.507E-05	7.700E-05	5.0840E-04	2.961E-03	8.381E-03	9.957E-03	1.228E-02
